ID,SETUP,PUNCH,PIADA,len_setup,len_punch,len_piadas,ratio_setup_punch,setup_limpo,punch_limpo,n_palavras_setup,n_palavras_punch,carac_nao_alfab_setup,carac_nao_alfab_punch,tem_pergunta,tem_dialogo,diversidade_lexical
12,"Dois tomatinhos iam atravessar a rua, e um disse ao outro: -Cuidado, vem aí um carro! O outro não ouviu nada e atravessou. O carro passou por cima dele e o outro disse:"," – Já não é um tomate, é ketchup!","Dois tomatinhos iam atravessar a rua, e um disse ao outro: -Cuidado, vem aí um carro! O outro não ouviu nada e atravessou. O carro passou por cima dele e o outro disse: – Já não é um tomate, é ketchup!",168,33,201,4.9411764705882355,dois tomatinhos iam atravessar a rua e um disse ao outro -cuidado vem ai um carro! o outro nao ouviu nada e atravessou. o carro passou por cima dele e o outro disse,- ja nao e um tomate e ketchup!,33,8,3,2,False,True,0.7352941176470589
13,"O condenado à morte esperava a hora da execução, quando chegou o padre: - Meu filho, vim trazer a palavra de Deus para você."," - Perda de tempo, seu padre. Daqui a pouco vou falar com Ele, pessoalmente. Algum recado?","O condenado à morte esperava a hora da execução, quando chegou o padre: - Meu filho, vim trazer a palavra de Deus para você. - Perda de tempo, seu padre. Daqui a pouco vou falar com Ele, pessoalmente. Algum recado?",124,90,214,1.3626373626373627,o condenado a morte esperava a hora da execucao quando chegou o padre - meu filho vim trazer a palavra de deus para voce.,- perda de tempo seu padre. daqui a pouco vou falar com ele pessoalmente. algum recado?,24,16,2,4,False,True,0.84
14,Um rapaz chegou num velório e a primeira coisa que perguntou foi: – Qual é a senha do Wi-Fi? Um parente incomodado disse: – Respeite o falecido!, E ele perguntou: – É tudo junto?,Um rapaz chegou num velório e a primeira coisa que perguntou foi: – Qual é a senha do Wi-Fi? Um parente incomodado disse: – Respeite o falecido! E ele perguntou: – É tudo junto?,144,33,177,4.235294117647059,um rapaz chegou num velorio e a primeira coisa que perguntou foi - qual e a senha do wi-fi? um parente incomodado disse - respeite o falecido!,e ele perguntou - e tudo junto?,27,7,5,2,True,True,0.8214285714285714
15,"Manuel está tomando banho, e grita para Maria: – Ô Maria, me traz um xampu. E Maria lhe entrega o xampu. Logo em seguida, ele grita novamente: – Ô Maria, me traz outro xampu. – Mas eu já te dei um agorinha mesmo, homem!"," – É que aqui está dizendo que é para cabelos secos, e eu já molhei os meus.","Manuel está tomando banho, e grita para Maria: – Ô Maria, me traz um xampu. E Maria lhe entrega o xampu. Logo em seguida, ele grita novamente: – Ô Maria, me traz outro xampu. – Mas eu já te dei um agorinha mesmo, homem! – É que aqui está dizendo que é para cabelos secos, e eu já molhei os meus.",219,76,295,2.844155844155844,manuel esta tomando banho e grita para maria - o maria me traz um xampu. e maria lhe entrega o xampu. logo em seguida ele grita novamente - o maria me traz outro xampu. - mas eu ja te dei um agorinha mesmo homem!,- e que aqui esta dizendo que e para cabelos secos e eu ja molhei os meus.,44,17,7,2,False,False,0.6666666666666666
16,Você sabe por que a água foi presa?, Porque ela matou a sede.,Você sabe por que a água foi presa? Porque ela matou a sede.,35,25,60,1.3461538461538463,voce sabe por que a agua foi presa?,porque ela matou a sede.,8,5,1,1,True,False,0.8888888888888888
17,"Dois amigos conversando… -Meu pai quer que eu faça Direito e seja um bom Advogado. -Que bom, vai seguir a profissão do velho?"," -Não, ele quer que tire ele da cadeia.","Dois amigos conversando… -Meu pai quer que eu faça Direito e seja um bom Advogado. -Que bom, vai seguir a profissão do velho? -Não, ele quer que tire ele da cadeia.",125,39,164,3.125,dois amigos conversando... -meu pai quer que eu faca direito e seja um bom advogado. -que bom vai seguir a profissao do velho?,-nao ele quer que tire ele da cadeia.,23,8,7,2,True,True,0.9166666666666666
18,Qual a cidade brasileira que não tem táxi?, Uberlândia.,Qual a cidade brasileira que não tem táxi? Uberlândia.,42,12,54,3.230769230769231,qual a cidade brasileira que nao tem taxi?,uberlandia.,8,1,1,1,True,False,0.8888888888888888
19,"Aluno de Direito ao fazer prova oral: - O que é uma fraude? - É o que o senhor professor está fazendo - responde o aluno. O professor fica indignado: ora essa, explique-se. Então diz o aluno:"," segundo o Código Penal, comete fraude todo aquele que se aproveita da ignorância do outro para o prejudicar.","Aluno de Direito ao fazer prova oral: - O que é uma fraude? - É o que o senhor professor está fazendo - responde o aluno. O professor fica indignado: ora essa, explique-se. Então diz o aluno: segundo o Código Penal, comete fraude todo aquele que se aproveita da ignorância do outro para o prejudicar.",191,109,300,1.7363636363636363,aluno de direito ao fazer prova oral - o que e uma fraude? - e o que o senhor professor esta fazendo - responde o aluno. o professor fica indignado ora essa explique-se. entao diz o aluno,segundo o codigo penal comete fraude todo aquele que se aproveita da ignorancia do outro para o prejudicar.,37,18,7,1,True,True,0.6842105263157895
20,"Um eletricista vai até a UTI de um hospital, olha para os pacientes ligados a diversos tipos de aparelhos e diz-lhes:", Respirem fundo: vou trocar o fusível.,"Um eletricista vai até a UTI de um hospital, olha para os pacientes ligados a diversos tipos de aparelhos e diz-lhes: Respirem fundo: vou trocar o fusível.",117,38,155,3.0,um eletricista vai ate a uti de um hospital olha para os pacientes ligados a diversos tipos de aparelhos e diz-lhes,respirem fundo vou trocar o fusivel.,21,6,1,1,False,True,0.8181818181818182
21,"Fui no café e perguntei se o salgado era de hoje. – Não, é de ontem. – E como faço pra comer o de hoje?", – Volte amanhã!,"Fui no café e perguntei se o salgado era de hoje. – Não, é de ontem. – E como faço pra comer o de hoje? – Volte amanhã!",103,16,119,6.0588235294117645,fui no cafe e perguntei se o salgado era de hoje. - nao e de ontem. - e como faco pra comer o de hoje?,- volte amanha!,25,3,5,2,True,False,0.7307692307692307
22,Qual a fórmula da água benta?, H Deus O.,Qual a fórmula da água benta? H Deus O.,29,10,39,2.6363636363636362,qual a formula da agua benta?,h deus o.,6,3,1,1,True,False,0.8571428571428571
23,"– Miguel, aonde vai tão circunspecto e assaz atribulado?"," – Eu ia no banheiro, mas agora vou consultar um dicionário.","– Miguel, aonde vai tão circunspecto e assaz atribulado? – Eu ia no banheiro, mas agora vou consultar um dicionário.",56,60,116,0.9180327868852459,- miguel aonde vai tao circunspecto e assaz atribulado?,- eu ia no banheiro mas agora vou consultar um dicionario.,9,11,2,2,True,False,0.9
24,Qual o contrário de papelada?, Pá vestida.,Qual o contrário de papelada? Pá vestida.,29,12,41,2.230769230769231,qual o contrario de papelada?,pa vestida.,5,2,1,1,True,False,0.8333333333333334
25,"Contei uma piada química,", mas não teve reação.,"Contei uma piada química, mas não teve reação.",25,21,46,1.1363636363636365,contei uma piada quimica,mas nao teve reacao.,4,4,0,1,False,False,0.8
26,Um canguru consegue pular mais alto que o Banespão?," Claro, o Banespão não pula.","Um canguru consegue pular mais alto que o Banespão? Claro, o Banespão não pula.",51,28,79,1.7586206896551724,um canguru consegue pular mais alto que o banespao?,claro o banespao nao pula.,9,5,1,1,True,False,0.9
27,O que o tijolo falou para o outro?, Há um ciumento entre nós.,O que o tijolo falou para o outro? Há um ciumento entre nós.,34,26,60,1.2592592592592593,o que o tijolo falou para o outro?,ha um ciumento entre nos.,8,5,1,1,True,False,0.6666666666666666
28,O que o cadarço falou para o tênis?, Eu me amarro em você.,O que o cadarço falou para o tênis? Eu me amarro em você.,35,22,57,1.5217391304347827,o que o cadarco falou para o tenis?,eu me amarro em voce.,8,5,1,1,True,False,0.6666666666666666
29,Por que o jacaré tirou o filho da escola?, Porque ele réptil de ano.,Por que o jacaré tirou o filho da escola? Porque ele réptil de ano.,41,26,67,1.5185185185185186,por que o jacare tirou o filho da escola?,porque ele reptil de ano.,9,5,1,1,True,False,0.8
30,Como o Batman conheceu o Robin?, Pelo bat-papo.,Como o Batman conheceu o Robin? Pelo bat-papo.,31,15,46,1.9375,como o batman conheceu o robin?,pelo bat-papo.,6,2,1,2,True,False,0.7142857142857143
31,Você sabe quem é o rei dos queijos?, É o reiqueijão.,Você sabe quem é o rei dos queijos? É o reiqueijão.,35,16,51,2.0588235294117645,voce sabe quem e o rei dos queijos?,e o reiqueijao.,8,3,1,1,True,False,0.8888888888888888
32,Por que o porco está sempre feliz?, Porque está de bacon a vida.,Por que o porco está sempre feliz? Porque está de bacon a vida.,34,29,63,1.1333333333333333,por que o porco esta sempre feliz?,porque esta de bacon a vida.,7,6,1,1,True,False,0.875
33,Qual a diferença entre o gato e coca-cola?, O gato mia e a coca light.,Qual a diferença entre o gato e coca-cola? O gato mia e a coca light.,42,27,69,1.5,qual a diferenca entre o gato e coca-cola?,o gato mia e a coca light.,8,7,2,1,True,True,0.8888888888888888
34,Qual é o cúmulo da solidão?, Morar sozinho e fugir de casa.,Qual é o cúmulo da solidão? Morar sozinho e fugir de casa.,27,31,58,0.84375,qual e o cumulo da solidao?,morar sozinho e fugir de casa.,6,6,1,1,True,False,0.8571428571428571
35,Qual é o alimento mais sagrado que existe?, O amém doim.,Qual é o alimento mais sagrado que existe? O amém doim.,42,13,55,3.0,qual e o alimento mais sagrado que existe?,o amem doim.,8,3,1,1,True,False,0.8888888888888888
36,O funcionário reclama do baixo salário que recebe e resolve reclamar com o patrão: — Meu salário não está compatível com as minhas aptidões!," — Eu sei, eu sei! Mas não podemos deixar você morrer de fome.","O funcionário reclama do baixo salário que recebe e resolve reclamar com o patrão: — Meu salário não está compatível com as minhas aptidões! — Eu sei, eu sei! Mas não podemos deixar você morrer de fome.",140,62,202,2.2222222222222223,o funcionario reclama do baixo salario que recebe e resolve reclamar com o patrao -- meu salario nao esta compativel com as minhas aptidoes!,-- eu sei eu sei! mas nao podemos deixar voce morrer de fome.,24,13,3,4,False,False,0.84
37,Por que o cachorro entrou na igreja?, Porque é um pastor alemão.,Por que o cachorro entrou na igreja? Porque é um pastor alemão.,36,27,63,1.2857142857142858,por que o cachorro entrou na igreja?,porque e um pastor alemao.,7,5,1,1,True,False,0.875
38,Por que a mulher do Hulk divorciou-se dele?, Porque ela queria um homem mais maduro…,Por que a mulher do Hulk divorciou-se dele? Porque ela queria um homem mais maduro…,43,40,83,1.048780487804878,por que a mulher do hulk divorciou-se dele?,porque ela queria um homem mais maduro...,8,7,2,3,True,True,0.8888888888888888
39,Por que Stalin não atendeu o telefone?, Porque achou que era Trótski.,Por que Stalin não atendeu o telefone? Porque achou que era Trótski.,38,30,68,1.2258064516129032,por que stalin nao atendeu o telefone?,porque achou que era trotski.,7,5,1,1,True,False,0.875
40,"Assim, por que Napoleão era sempre chamado para as festas na França?"," Então, é porque ele era Bom Na Party (Bonaparte).","Assim, por que Napoleão era sempre chamado para as festas na França? Então, é porque ele era Bom Na Party (Bonaparte).",68,50,118,1.3333333333333333,assim por que napoleao era sempre chamado para as festas na franca?,entao e porque ele era bom na party bonaparte.,12,9,1,1,True,False,0.9230769230769231
41,Você conhece a piada do fotógrafo?, Ainda não foi revelada.,Você conhece a piada do fotógrafo? Ainda não foi revelada.,34,24,58,1.36,voce conhece a piada do fotografo?,ainda nao foi revelada.,6,4,1,1,True,False,0.8571428571428571
42,"Na frase “ele acordou cedo”, onde está o sujeito?", Em algum lugar com sono.,"Na frase “ele acordou cedo”, onde está o sujeito? Em algum lugar com sono.",49,25,74,1.8846153846153846,na frase ele acordou cedo onde esta o sujeito?,em algum lugar com sono.,9,5,1,1,True,False,0.9
43,Quer pedir desculpas?, A partir de hoje só aceito pedido em dinheiro.,Quer pedir desculpas? A partir de hoje só aceito pedido em dinheiro.,21,47,68,0.4375,quer pedir desculpas?,a partir de hoje so aceito pedido em dinheiro.,3,9,1,1,True,False,0.75
44,Gosto tanto de vencer, que nem peso eu perco.,Gosto tanto de vencer que nem peso eu perco.,21,23,44,0.875,gosto tanto de vencer,que nem peso eu perco.,4,5,0,1,False,False,0.8
45,Um homem vai a uma loja para comprar um novo celular. Modelo? - pergunta o atendente.," Não, eu sou mecânico, mas obrigado!","Um homem vai a uma loja para comprar um novo celular. Modelo? - pergunta o atendente. Não, eu sou mecânico, mas obrigado!",85,36,121,2.2972972972972974,um homem vai a uma loja para comprar um novo celular. modelo? - pergunta o atendente.,nao eu sou mecanico mas obrigado!,16,6,4,1,True,True,0.8823529411764706
46,Já marquei na agenda quando vou resolver todos os meus problemas:, no próximo 30 de fevereiro.,Já marquei na agenda quando vou resolver todos os meus problemas: no próximo 30 de fevereiro.,65,28,93,2.2413793103448274,ja marquei na agenda quando vou resolver todos os meus problemas,no proximo 30 de fevereiro.,11,5,0,3,False,False,0.9166666666666666
47,"Então, o que o pagodeiro foi fazer na igreja?", Foi cantar Pá God.,"Então, o que o pagodeiro foi fazer na igreja? Foi cantar Pá God.",45,19,64,2.25,entao o que o pagodeiro foi fazer na igreja?,foi cantar pa god.,9,4,1,1,True,False,0.8
48,O que o cliente disse ao entrar na H.Stern?," E aí, tudo joia?","O que o cliente disse ao entrar na H.Stern? E aí, tudo joia?",43,17,60,2.388888888888889,o que o cliente disse ao entrar na h.stern?,e ai tudo joia?,9,4,2,1,True,False,0.8
49,Por que o rádio não pode ter filhos?, Porque ele é stereo.,Por que o rádio não pode ter filhos? Porque ele é stereo.,36,21,57,1.6363636363636365,por que o radio nao pode ter filhos?,porque ele e stereo.,8,4,1,1,True,False,0.8888888888888888
50,Por que o policial não usa sabão?, Porque ele prefere deter gente.,Por que o policial não usa sabão? Porque ele prefere deter gente.,33,32,65,1.0,por que o policial nao usa sabao?,porque ele prefere deter gente.,7,5,1,1,True,False,0.875
51,"Na frase Proibido estacionar, qual é o sujeito da oração?", Sujeito a guincho.,"Na frase Proibido estacionar, qual é o sujeito da oração? Sujeito a guincho.",57,19,76,2.85,na frase proibido estacionar qual e o sujeito da oracao?,sujeito a guincho.,10,3,1,1,True,False,0.9090909090909091
52,O que a galinha foi fazer na igreja ?, Assistir a Missa do Galo.,O que a galinha foi fazer na igreja ? Assistir a Missa do Galo.,37,26,63,1.3703703703703705,o que a galinha foi fazer na igreja ?,assistir a missa do galo.,9,5,1,1,True,False,0.9
53,O que o padeiro falou para o John Lennon?, O sonho acabou.,O que o padeiro falou para o John Lennon? O sonho acabou.,41,16,57,2.411764705882353,o que o padeiro falou para o john lennon?,o sonho acabou.,9,3,1,1,True,False,0.7
54,"Querido, onde está aquele livro Como viver 100 anos? - Joguei fora! - Jogou fora? Por quê?", - É que sua mãe vem nos visitar amanhã e eu não quero que ela leia essas coisas!,"Querido, onde está aquele livro Como viver 100 anos? - Joguei fora! - Jogou fora? Por quê? - É que sua mãe vem nos visitar amanhã e eu não quero que ela leia essas coisas!",90,81,171,1.0975609756097562,querido onde esta aquele livro como viver 100 anos? - joguei fora! - jogou fora? por que?,- e que sua mae vem nos visitar amanha e eu nao quero que ela leia essas coisas!,17,18,9,2,True,True,0.8888888888888888
55,"Afinal, você conhece a piada do pônei?", Pô nei eu.,"Afinal, você conhece a piada do pônei? Pô nei eu.",38,11,49,3.1666666666666665,afinal voce conhece a piada do ponei?,po nei eu.,7,3,1,1,True,False,0.875
56,Por que as plantas pequenas não falam?, Porque elas são mudinhas.,Por que as plantas pequenas não falam? Porque elas são mudinhas.,38,26,64,1.4074074074074074,por que as plantas pequenas nao falam?,porque elas sao mudinhas.,7,4,1,1,True,False,0.875
57,"Então, por que a velhinha não usa relógio?", Porque ela é sem hora.,"Então, por que a velhinha não usa relógio? Porque ela é sem hora.",42,23,65,1.75,entao por que a velhinha nao usa relogio?,porque ela e sem hora.,8,5,1,1,True,False,0.8888888888888888
58,"Então, havia dois caminhões voando. Um caiu. No entanto, por que o outro continuou voando?", Porque era caminhão-pipa.,"Então, havia dois caminhões voando. Um caiu. No entanto, por que o outro continuou voando? Porque era caminhão-pipa.",90,26,116,3.3333333333333335,entao havia dois caminhoes voando. um caiu. no entanto por que o outro continuou voando?,porque era caminhao-pipa.,15,3,3,2,True,False,0.9375
59,"Se você tem uma opinião sobre a minha vida, levante as suas mãos.", Agora coloque-a entre os dentes da boca.,"Se você tem uma opinião sobre a minha vida, levante as suas mãos. Agora coloque-a entre os dentes da boca.",65,41,106,1.5476190476190477,se voce tem uma opiniao sobre a minha vida levante as suas maos.,agora coloque-a entre os dentes da boca.,13,7,1,2,False,False,0.9285714285714286
60,Qual a fruta que anda de trem?, O kiwiiiii.,Qual a fruta que anda de trem? O kiwiiiii.,30,12,42,2.3076923076923075,qual a fruta que anda de trem?,o kiwiiiii.,7,2,1,1,True,False,0.875
61,"O pai pergunta à filha: - Filha, você acha que sua professora desconfia que eu estou te ajudando a fazer a lição de casa?"," - Acho que sim, pai. Ela até já me disse que você deveria voltar para escola!","O pai pergunta à filha: - Filha, você acha que sua professora desconfia que eu estou te ajudando a fazer a lição de casa? - Acho que sim, pai. Ela até já me disse que você deveria voltar para escola!",121,78,199,1.5316455696202531,o pai pergunta a filha - filha voce acha que sua professora desconfia que eu estou te ajudando a fazer a licao de casa?,- acho que sim pai. ela ate ja me disse que voce deveria voltar para escola!,24,16,2,3,True,True,0.8
62,O que é um astrólogo andando a cavalo ?, Cavaleiro do Zodíaco.,O que é um astrólogo andando a cavalo ? Cavaleiro do Zodíaco.,39,22,61,1.6956521739130435,o que e um astrologo andando a cavalo ?,cavaleiro do zodiaco.,9,3,1,1,True,False,0.9
63,Por que o mouse é muito mimado?," Porque tudo o que ele quer, o mouse pad.","Por que o mouse é muito mimado? Porque tudo o que ele quer, o mouse pad.",31,41,72,0.7380952380952381,por que o mouse e muito mimado?,porque tudo o que ele quer o mouse pad.,7,9,1,1,True,False,0.875
64,"Joãozinho chega atrasado à escola. Quando ele entra na sala de aula, a professora diz: - De novo atrasado, Joãozinho?"," - Ué, professora! Não é a senhora que diz que nunca é tarde para aprender?","Joãozinho chega atrasado à escola. Quando ele entra na sala de aula, a professora diz: - De novo atrasado, Joãozinho? - Ué, professora! Não é a senhora que diz que nunca é tarde para aprender?",117,75,192,1.5394736842105263,joaozinho chega atrasado a escola. quando ele entra na sala de aula a professora diz - de novo atrasado joaozinho?,- ue professora! nao e a senhora que diz que nunca e tarde para aprender?,20,15,3,3,True,True,0.8095238095238095
65,Por que o Batman colocou o batmóvel no seguro?, Porque ele tem medo que Robin.,Por que o Batman colocou o batmóvel no seguro? Porque ele tem medo que Robin.,46,31,77,1.4375,por que o batman colocou o batmovel no seguro?,porque ele tem medo que robin.,9,6,1,1,True,False,0.8
66,Por que o pinheiro não se perde na floresta?, Porque ele tem uma pinha (um mapinha).,Por que o pinheiro não se perde na floresta? Porque ele tem uma pinha (um mapinha).,44,39,83,1.1,por que o pinheiro nao se perde na floresta?,porque ele tem uma pinha um mapinha.,9,7,1,1,True,False,0.9
67,Como transformar o giz em uma cobra?, É só colocar ele na água que o GIZBÓIA!,Como transformar o giz em uma cobra? É só colocar ele na água que o GIZBÓIA!,36,40,76,0.8780487804878049,como transformar o giz em uma cobra?,e so colocar ele na agua que o gizboia!,7,9,1,1,True,False,0.875
68,O que fala o livro de Matemática para o livro de História?, Não me venha com história que eu já estou cheio de problema!,O que fala o livro de Matemática para o livro de História? Não me venha com história que eu já estou cheio de problema!,58,61,119,0.9354838709677419,o que fala o livro de matematica para o livro de historia?,nao me venha com historia que eu ja estou cheio de problema!,12,12,1,1,True,False,0.6153846153846154
69,Como se faz omelete de chocolate?, Com ovos de páscoa.,Como se faz omelete de chocolate? Com ovos de páscoa.,33,20,53,1.5714285714285714,como se faz omelete de chocolate?,com ovos de pascoa.,6,4,1,1,True,False,0.8571428571428571
70,O que é um pontinho verde no canto da sala?, R: Uma ervilha de castigo.,O que é um pontinho verde no canto da sala? R: Uma ervilha de castigo.,43,27,70,1.5357142857142858,o que e um pontinho verde no canto da sala?,r uma ervilha de castigo.,10,5,1,1,True,False,0.9090909090909091
71,Qual é o mercado que voa?, É o super-mercado!,Qual é o mercado que voa? É o super-mercado!,25,19,44,1.25,qual e o mercado que voa?,e o super-mercado!,6,3,1,2,True,False,0.8571428571428571
72,"Professora: Feche a janela, Joãozinho, está frio lá fora.", Joãozinho: Vai continuar frio lá fora mesmo se eu fechar a janela.,"Professora: Feche a janela, Joãozinho, está frio lá fora. Joãozinho: Vai continuar frio lá fora mesmo se eu fechar a janela.",57,67,124,0.8382352941176471,professora feche a janela joaozinho esta frio la fora.,joaozinho vai continuar frio la fora mesmo se eu fechar a janela.,9,12,1,1,False,False,0.9
73,O que um cromossomo falou pro outro?, Cromossomos bonitos!,O que um cromossomo falou pro outro? Cromossomos bonitos!,36,21,57,1.6363636363636365,o que um cromossomo falou pro outro?,cromossomos bonitos!,7,2,1,1,True,False,0.875
74,O que é um pontinho azul no gramado?, Resposta: é uma formiguinha de calça jeans.,O que é um pontinho azul no gramado? Resposta: é uma formiguinha de calça jeans.,36,44,80,0.8,o que e um pontinho azul no gramado?,resposta e uma formiguinha de calca jeans.,8,7,1,1,True,False,0.8888888888888888
75,O que é um pontinho preto no avião?, Resposta: Aeromosca,O que é um pontinho preto no avião? Resposta: Aeromosca,35,20,55,1.6666666666666667,o que e um pontinho preto no aviao?,resposta aeromosca,8,2,1,0,True,False,0.8888888888888888
76,Qual é o fim da picada?, Quando o mosquito vai embora.,Qual é o fim da picada? Quando o mosquito vai embora.,23,30,53,0.7419354838709677,qual e o fim da picada?,quando o mosquito vai embora.,6,5,1,1,True,False,0.8571428571428571
77,Por que os bombeiros não conseguem andar?, Porque eles só-correm.,Por que os bombeiros não conseguem andar? Porque eles só-correm.,41,23,64,1.7083333333333333,por que os bombeiros nao conseguem andar?,porque eles so-correm.,7,3,1,2,True,False,0.875
78,"Qual o animal que já valeu muito, mas que atualmente não vale nada?", O javali.,"Qual o animal que já valeu muito, mas que atualmente não vale nada? O javali.",67,10,77,6.090909090909091,qual o animal que ja valeu muito mas que atualmente nao vale nada?,o javali.,13,2,1,1,True,False,0.8571428571428571
79,Por que os elétrons nunca são convidados para festas?, Porque eles são muito negativos.,Por que os elétrons nunca são convidados para festas? Porque eles são muito negativos.,53,33,86,1.5588235294117647,por que os eletrons nunca sao convidados para festas?,porque eles sao muito negativos.,9,5,1,1,True,False,0.9
80,O que um álcool disse para outro álcool?, Etanois!,O que um álcool disse para outro álcool? Etanois!,40,9,49,4.0,o que um alcool disse para outro alcool?,etanois!,8,1,1,1,True,False,0.8888888888888888
81,Que raça de cachorro pula mais alto que um prédio?," Qualquer uma, ué. Prédio não pula.","Que raça de cachorro pula mais alto que um prédio? Qualquer uma, ué. Prédio não pula.",50,35,85,1.3888888888888888,que raca de cachorro pula mais alto que um predio?,qualquer uma ue. predio nao pula.,10,6,1,2,True,False,0.8181818181818182
82,O que o tubarão disse quando comeu o peixe-palhaço?, Que gosto engraçado!,O que o tubarão disse quando comeu o peixe-palhaço? Que gosto engraçado!,51,21,72,2.3181818181818183,o que o tubarao disse quando comeu o peixe-palhaco?,que gosto engracado!,9,3,2,1,True,True,0.7
83,Qual é o alimento mais sagrado que existe?, O amém doím.,Qual é o alimento mais sagrado que existe? O amém doím.,42,13,55,3.0,qual e o alimento mais sagrado que existe?,o amem doim.,8,3,1,1,True,False,0.8888888888888888
84,Por que o arqueólogo escolheu essa profissão?, Porque a carreira dele estava em ruínas.,Por que o arqueólogo escolheu essa profissão? Porque a carreira dele estava em ruínas.,45,41,86,1.0714285714285714,por que o arqueologo escolheu essa profissao?,porque a carreira dele estava em ruinas.,7,7,1,1,True,False,0.875
85,Por que a esposa do Hulk pediu divórcio?, Porque ele era maduro demais.,Por que a esposa do Hulk pediu divórcio? Porque ele era maduro demais.,40,30,70,1.2903225806451613,por que a esposa do hulk pediu divorcio?,porque ele era maduro demais.,8,5,1,1,True,False,0.8888888888888888
